group,learner_seed,timestep,policy_hash,log_std_bid,log_std_ask,action_std_bid,action_std_ask,n_eval_seeds,det_mean_objective,det_std_objective,det_se_objective,det_mean_raw_pnl,det_loss_rate,det_mean_quoted_spread,det_median_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_terminal_abs_inventory,det_terminal_signed_inventory,det_running_penalty,det_terminal_penalty,det_frac_near_bound,stoch_mean_objective,stoch_std_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_loss_rate,stoch_mean_quoted_spread,stoch_median_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_terminal_abs_inventory,stoch_terminal_signed_inventory,stoch_running_penalty,stoch_terminal_penalty,stoch_frac_near_bound
A,3,112000,e3c9b16284d2e00c340784cf3cfa36384c91707d9de1acfa264a78921181e594,-0.0839217826724052,-0.0461892820894718,0.919503092765808,0.9548611640930176,50,25.656002252809177,52.33753038053738,7.401644528526986,26.147531401259844,0.24,2.37897809617972,2.379564026767202,20.54,5.103272246304018,-4.971638375187158,8.14,-8.14,0.4069491484506651,0.08458,0.0,9.835460322132496,109.20801371501008,15.444345411559423,11.53588416219156,0.46,2.6304755684952186,2.634190923065921,66.3,9.771566612636796,-9.638213841872911,16.22,-16.22,1.3918038400590629,0.30862,0.5573962411199452
A,3,128000,6ed9cdc8268fcf1cecded4ce6a2aa96ac2738ba966954d97d6fdb96923848ca0,-0.0792868211865425,-0.0552393347024917,0.9237749576568604,0.9462587237358092,50,30.50849768442135,104.32802747673956,14.754211139323798,32.19674872962166,0.34,2.1662183641059496,2.158903842359469,29.52,10.218426908660517,-10.211091433046048,15.96,-15.96,1.4080510452003163,0.2802,0.0,-5.361232514845518,170.08654713306152,24.053870173278625,-1.316239750397863,0.48,2.4732494822056537,2.481810589815771,78.62,15.917727379173176,-15.898185452655303,24.78,-24.78,3.36889276444766,0.6761,0.5667471951209617
A,3,144000,d3d8e5c775126d93ff5a134d551a19f8eee8f995648253dfebffe7366c5035e5,-0.0743098929524421,-0.061752799898386,0.9283838868141174,0.9401152729988098,50,28.47294773686458,150.48806685047046,21.282226511524428,31.908458636394126,0.38,1.9623750864863352,1.9583710551300388,36.68,14.806280607590416,-14.801694272869424,23.64,-23.64,2.843070899529554,0.59244,0.0,-0.8779807703624107,192.32153362576148,27.198372118994516,5.064681350374615,0.52,2.296076793272362,2.2971095772557524,81.12,19.083512269589484,-19.05852872445358,31.2,-31.2,4.880382120737021,1.06228,0.5809875804354895
A,3,160000,e05f9c5eacd70e27d04acf31972324bd9bf5597aeefd55c6c84b4cd8da729332,-0.0873023346066474,-0.0591472424566745,0.9164000153541564,0.9425680041313172,50,26.173107223027746,125.9079959370624,17.806079546541017,28.477885160844146,0.38,1.9609518680785272,1.959492396476937,30.6,11.940344933151705,-11.933009457537237,19.44,-19.44,1.900577937816398,0.4041999999999999,0.0,8.762331057830107,190.36231679104756,26.921297017066298,13.858552972931829,0.5,2.306219494828818,2.3114926815326946,73.06,17.805366432270485,-17.788140641248955,29.66,-29.66,4.171241915101724,0.92498,0.5750120740476391
A,3,176000,3fd3b6f7d1d7c28c60cf2b9cfb5bf796c7ed82d4ebdf447d96cb0afe1c71daa5,-0.0858984515070915,-0.0640065893530845,0.9176874160766602,0.9379988312721252,50,26.66805018204585,115.27341827302816,16.3021231502823,28.70731741275537,0.34,1.9656067196061329,1.9641481780166905,29.32,11.067646430640943,-11.060310955026482,18.52,-18.52,1.669667230709515,0.3696000000000001,0.0,4.504718343050241,186.0323598808988,26.30894863838395,9.557856288865846,0.52,2.3060214181146725,2.2983947181292064,73.32,17.35902882897194,-17.314630439503958,29.28,-29.28,4.123657945815608,0.92948,0.5766060271225806
A,3,192000,a656322b019e06f6fa9686617bc4c07b7c0ddfde37ecf6bfeb4e1b65d8e0c65f,-0.0897479206323623,-0.0678591951727867,0.9141615629196168,0.9343920350074768,50,24.150338998762187,92.1834156436856,13.03670366291763,25.548017220450586,0.34,1.973728082328403,1.9737491324404304,25.08,8.867532586247755,-8.855642316112739,15.52,-15.52,1.129158221688399,0.26852,0.0,6.223886284721866,196.46868628268615,27.784868072259965,11.173983941706766,0.48,2.3142067304139773,2.323831146151786,68.68,17.035841984872576,-16.983966859422768,29.68,-29.68,4.004497656984903,0.9456000000000002,0.5848133568981273
A,3,200000,11230e825d839b0e0561ca5e2c13d1f65c5cc16d312049dddca75c5f0674ca0f,-0.0967914387583732,-0.0699823647737503,0.9077453017234802,0.9324102401733398,50,24.95497264913316,80.68704268000614,11.410871006584143,26.076898021631465,0.3,2.1599399566629085,2.154533584805652,24.68,7.820141301993267,-7.76849267141105,13.4,-13.4,0.911645372498306,0.21028,0.0,5.907152291490887,137.70493582970323,19.474418785608304,8.75855025761107,0.46,2.456816227837862,2.463026905469234,68.64,12.761976189922407,-12.702051253965784,22.36,-22.36,2.3074379661201827,0.5439599999999999,0.551425186213822
A,4,16000,b49761a81680b76061fd8f8927d09ba3f417fcb8c7791fc3de9acf13d38858a3,-0.0222963783890008,-0.0050617386586964,0.977950394153595,0.994951069355011,50,29.623780108085167,27.58411424602512,3.900982847277762,29.756102172086614,0.14,3.0345246801154557,3.0404860215054565,25.12,2.536934367831524,-0.1217982813719591,3.72,0.8,0.111642064001448,0.02068,0.0,-1.3254597814139806,49.79102637086024,7.041514477814698,-1.0111187397023051,0.44,3.061798312336506,3.081986750421395,78.46,3.895306132955586,-1.2737166129146995,5.1,-0.78,0.2704410417116769,0.0439,0.5642874428042964
A,4,32000,7bbeb92a356ad8dcae3993b7d50268ec59d5c769988eb4b0eec82e3e68e8f7c7,-0.041953757405281,0.0037401241715997,0.9589141011238098,1.0037472248077393,50,31.8295115499237,21.87843802357984,3.0940783776485814,31.93903875482866,0.06,2.940580049540836,2.9483075326277657,22.2,2.2804985867180263,-0.7546675119038531,2.88,-0.56,0.0942872049049587,0.01524,0.0,7.096695674815196,44.13407715186916,6.24150104709939,7.378911278811317,0.34,3.026050854016745,3.0289678138878235,73.14,3.8338992352910624,-2.558388592687227,4.42,-2.78,0.2531956039961205,0.02902,0.5621844719647237
A,4,48000,7947581e353ccd3e2142e3d70eff8f3822f38e2916c665c10c2fc33d1c2dc7fe,-0.0797687619924545,-0.0464309826493263,0.923329770565033,0.954630434513092,50,31.661446776101798,20.865975883850567,2.95089460870914,31.76566581656891,0.02,3.011173202904487,3.018799172009326,22.32,2.247638863539287,-0.3826398494799379,3.12,0.52,0.089499040467112,0.01472,0.0,9.323397359735448,41.67809008641043,5.894172025400927,9.54860861614381,0.44,3.0458013545268847,3.040339632447627,69.06,3.390825620354631,-0.5290356256861192,3.94,0.5,0.1998312564083614,0.02538,0.528483876124448
