source,policy,learner_seed,checkpoint_transition,n_paths,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate_deterministic,stochastic_action_std_bid,stochastic_action_std_ask,near_bound_rate_stochastic,stochastic_full_objective
validation,hamilton_ppo,0.0,144000.0,50,-0.016974498076955,-0.0548006264171807,0.0396729960975107,0.0224963692284218,0.0,0.1973605897766243,0.2144507882316596,0.0,32.23903924646152
validation,hamilton_ppo,0.0,160000.0,50,-0.0364051425104358,-0.0666390972759203,0.0253203252130935,0.0269367938449786,0.0,0.1883655764026321,0.2119360302646767,0.0,28.83934392179888
validation,hamilton_ppo,0.0,176000.0,50,-0.0349236435826384,-0.0759336727529629,0.0276646904314816,0.0322246062370214,0.0,0.1904315727533792,0.2094744336608178,0.0,26.91339483480316
validation,hamilton_ppo,0.0,192000.0,50,-0.0363989833444972,-0.0714327590025839,0.0488298762279864,0.0358075586730167,0.0,0.1931841210265259,0.2070368644944063,0.0,32.30209627315587
validation,hamilton_ppo,0.0,200000.0,50,-0.0596009609228541,-0.0847850935092209,0.0426661451983698,0.0383744041414764,0.0,0.1923781747996256,0.2045346381757102,0.0,30.616341610799715
validation,hamilton_ppo,0.0,300000.0,50,-0.013496244879109,-0.0946631501718727,0.0580132837907135,0.0465330332819695,0.0,0.1931098485509031,0.1885252127663599,0.0,34.292733120294294
validation,hamilton_ppo,0.0,400000.0,50,-0.0530646071663882,-0.1604429578698906,0.048206294853101,0.0292254338244903,0.0,0.1877107148255727,0.1823756280415141,7.2463768115942e-05,28.483875571117736
validation,hamilton_ppo,0.0,500000.0,50,-0.0326069625270555,-0.2041582279870905,0.0348546964882919,0.0559241059349544,0.0,0.1733358464939401,0.1823807874607864,0.0,27.847642878685477
validation,hamilton_ppo,0.0,600000.0,50,-0.0186232697561177,-0.1957807849520126,0.0213408342925059,0.0688332803491483,0.0,0.1555914734059529,0.1738191006886913,0.0,29.29498305386308
validation,hamilton_ppo,0.0,700000.0,50,-0.0337414606201806,-0.2668221837576376,0.0202219405088682,0.0486257872656454,0.0,0.1567749851565901,0.1598039447249508,0.0,27.841904272979864
validation,hamilton_ppo,0.0,800000.0,50,-0.0727781957434595,-0.2533367216375125,0.0478142573975808,0.0396284655327774,0.0,0.1585935224973864,0.143011699210775,0.0,29.251782814961462
validation,hamilton_ppo,0.0,900000.0,50,-0.1489805513858823,-0.1946788267634561,0.0216062710776602,0.0494185889314338,0.0,0.149257549155148,0.1428964367394412,0.0,36.22133915794566
validation,hamilton_ppo,0.0,1000000.0,50,-0.2074875623811282,-0.1257249969905633,0.0324730365432101,0.0444620221612707,0.0,0.1460449630553356,0.1295209603930987,0.0,28.906111040380164
validation,hamilton_ppo,1.0,16000.0,100,0.0069752363293593,-0.0153865107830455,0.0103739104288353,0.019344560559888,0.0,0.2235849343357784,0.2166162823253067,6.920415224913399e-05,28.31206350657878
validation,hamilton_ppo,1.0,32000.0,100,0.0022187747007845,-0.010566652632912,0.0202582917242004,0.0134600005031623,0.0,0.215330339473274,0.2141736982831161,0.0,40.04118972973287
validation,hamilton_ppo,1.0,48000.0,100,-0.0336168543021114,-0.0178079505576435,0.0212478664559758,0.0206717499243366,0.0,0.2102804544716748,0.2146441470352985,7.142857142857e-05,33.13023532149669
validation,hamilton_ppo,1.0,64000.0,100,-0.0155523424141444,-0.0344422355044034,0.0352811221887399,0.0208507486420994,0.0,0.2091598884708645,0.2110940824908193,0.0,30.44293076174293
