agent_type,training_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective
oracle,,130010,68.61224954562998,68.56336454562998,58.86656135801336,10.720277547364443,0.04888500000000293,0.0,1.8965,4.0,1.5125,0.0,0.0,74.0,-0.42547038585565256,-0.44501753423719703,0.15604954651745234,0.16203166425679874,1.733865118367269,4000,2.8705926524708048e-12,exogenous_paired_fills_not_claimed_paired,,,,0.9271925614274321,False,False,7400.0,analytic,,,
oracle,,130011,83.02533793157191,82.9553879315719,56.707553016739496,22.537942290641173,0.06895000000000004,0.001,2.335,5.0,-0.1475,-1.0,1.0,55.0,-0.2635316505545303,-0.26926863844161425,0.09566942410786944,0.09435004297051999,2.2522347886684333,4000,2.7000623958883807e-13,exogenous_paired_fills_not_claimed_paired,,,,1.509551598755853,False,False,5500.0,analytic,,,
oracle,,130012,-81.01541886274094,-81.26886386274094,60.02778283206318,16.28997304123778,0.20444499999999852,0.049,4.231,8.0,-4.205,-7.0,7.0,65.0,-0.3578148038689345,-0.3140208485857198,0.14841563996277965,0.15131758102471207,2.0388076184693835,4000,1.1368683772161603e-13,exogenous_paired_fills_not_claimed_paired,,,,-1.2463910594267837,True,True,6500.0,analytic,,,
oracle,,130013,62.630550536426185,62.58581053642619,64.04843906789884,16.03237623221024,0.04374000000000024,0.001,1.691,5.0,-0.2405,-1.0,1.0,75.0,-0.3964161806066478,-0.3982215656219239,0.1607443706295392,0.16481776354762595,1.8502994381278641,4000,1.1439738045737613e-12,exogenous_paired_fills_not_claimed_paired,,,,0.835074007152349,False,False,7500.0,analytic,,,
oracle,,130014,69.88273557316415,69.36155057316415,72.926655654445,19.457871018411527,0.37718499999999183,0.14400000000000002,4.4325,12.0,4.009,12.0,12.0,72.0,-0.283054196394292,-0.31314362658460093,0.12343046520796327,0.13367734005158732,2.1549159775475926,4000,6.110667527536862e-13,exogenous_paired_fills_not_claimed_paired,,,,0.97059354962728,False,False,7200.0,analytic,,,
oracle,,130015,108.85271741864165,108.49779741864164,50.56509472099127,18.081412328634787,0.3189200000000034,0.036000000000000004,5.2555,9.0,-5.2555,-6.0,6.0,50.0,-0.30772066627076583,-0.2503515575777573,0.11227926866901067,0.10773331341003668,2.2134409350269637,4000,1.2931877790833823e-12,exogenous_paired_fills_not_claimed_paired,,,,2.177054348372833,False,False,5000.0,analytic,,,
oracle,,130016,45.030882768548,44.91885526854799,44.916103591775105,9.49610509737619,0.07602750000000265,0.036000000000000004,2.37625,6.0,-1.06625,6.0,6.0,56.0,-0.4094117244880194,-0.3909805090807015,0.16746554189011192,0.15887747947176148,1.8414659736163639,4000,4.902744876744691e-13,exogenous_paired_fills_not_claimed_paired,,,,0.8041229065812142,False,False,5600.0,analytic,,,
oracle,,130017,50.808251602052195,50.756696602052195,63.701589032485565,17.4954908251814,0.05055500000000035,0.001,1.7765,5.0,-0.1005,1.0,1.0,73.0,-0.3638053731864493,-0.3574873167051462,0.159105698368235,0.15902450524630263,1.9628882603720845,4000,2.2737367544323206e-13,exogenous_paired_fills_not_claimed_paired,,,,0.6960034466034547,False,False,7300.0,analytic,,,
oracle,,130018,38.02631497445202,37.89744997445203,57.743519809393916,10.46463128171723,0.11286499999999312,0.016,2.953,6.0,2.949,4.0,4.0,70.0,-0.37558728943807307,-0.4148106348772114,0.17117001153302805,0.15726721683058953,1.8568078052841872,4000,4.902744876744691e-13,exogenous_paired_fills_not_claimed_paired,,,,0.5432330710636003,False,False,7000.0,analytic,,,
oracle,,130019,43.656736718634534,43.60593171863454,52.884754140460224,13.778850558981278,0.03480500000000044,0.016,1.389,6.0,0.2925,4.0,4.0,56.0,-0.33465743044399576,-0.33188628071386395,0.14502216653323208,0.15280211007341676,2.0469310485647165,4000,2.1316282072803006e-13,exogenous_paired_fills_not_claimed_paired,,,,0.779584584261331,False,False,5600.0,analytic,,,
