agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective,selected_checkpoint_timestep,selected_validation_mean,selected_validation_std,validation_seed_count,environment_type
belief_weighted,,,170011,41.80881086769534,41.80433852578689,53.5705406658456,21.682269676095967,0.004472341908450344,0.0,0.4074074074074074,2.0,0.08888888888888889,0.0,0.0,86.0,-0.3380142305675992,-0.40092966810395636,0.3056134176406773,0.2834188015406887,1.9357926535653753,270,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.4861489635778528,False,False,8600.0,analytic,,,,,,,,event
belief_weighted,,,170012,40.31262171242771,40.30454861755224,53.411029744433534,16.32498710535789,0.007073094875471892,0.001,0.5977443609022557,3.0,-0.07894736842105263,-1.0,1.0,89.0,-0.4198818400624586,-0.3659950243084758,0.3005351483157572,0.34996996120352863,1.8637478887724495,266,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.45295080575761476,False,False,8900.0,analytic,,,,,,,,event
belief_weighted,,,170013,35.81099085024769,35.79336242222292,48.52310456933099,15.114084988735005,0.008628428024772945,0.009000000000000001,0.6343283582089553,3.0,-0.16417910447761194,-3.0,3.0,79.0,-0.43142915946243904,-0.33244836834517594,0.2903744111032634,0.3671492833656147,1.8975181183900887,268,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.453303681648705,False,False,7900.0,analytic,,,,,,,,event
belief_weighted,,,170014,9.551272043982948,9.544298442478627,42.43842223042025,24.946570207092673,0.006973601504320027,0.0,0.6078431372549019,2.0,0.1450980392156863,0.0,0.0,58.0,-0.2552392185417597,-0.3391841009303393,0.3509336859751307,0.32888321351897765,2.1576399410957317,255,5.329070518200751e-15,exogenous_paired_fills_not_claimed_paired,,,,0.16467710420660256,False,False,5800.0,analytic,,,,,,,,event
belief_weighted,,,170015,25.380257980355594,25.370784016806994,49.51105863721735,13.037066024115939,0.009473963548602308,0.0,0.674074074074074,3.0,0.362962962962963,0.0,0.0,82.0,-0.3299793760235764,-0.462559046542717,0.30718686983322946,0.32338224383799186,1.8535220190412867,270,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.3095153412238487,False,False,8200.0,analytic,,,,,,,,event
belief_weighted,,,170016,17.42261198286306,17.412182349176867,55.44830941382761,32.43249571947307,0.009429633686193336,0.001,0.5508771929824562,2.0,-0.010526315789473684,1.0,1.0,73.0,-0.3272413659262857,-0.2672608102457246,0.31461577319753586,0.28704363092275714,2.1575188915879338,285,3.552713678800501e-15,exogenous_paired_fills_not_claimed_paired,,,,0.23866591757346656,False,False,7300.0,analytic,,,,,,,,event
belief_weighted,,,170017,25.877206303983044,25.8658749289575,56.72374189836145,25.38212953002371,0.010331375025543259,0.001,0.6433566433566433,3.0,0.04195804195804196,-1.0,1.0,83.0,-0.32667959871862684,-0.35721553157282254,0.3102518195358006,0.3161959285681363,2.0202956358718525,286,3.552713678800501e-15,exogenous_paired_fills_not_claimed_paired,,,,0.3117735699275066,False,False,8300.0,analytic,,,,,,,,event
belief_weighted,,,170018,31.505732474342494,31.494559268031566,57.017339069349056,32.83723317572048,0.011173206310929617,0.0,0.657258064516129,3.0,0.14919354838709678,0.0,0.0,70.0,-0.2777720090504209,-0.3118244502773633,0.28643631923382257,0.32404185040878103,2.1650494452385765,248,1.7763568394002505e-14,exogenous_paired_fills_not_claimed_paired,,,,0.45008189249060704,False,False,7000.0,analytic,,,,,,,,event
belief_weighted,,,170019,22.07718515907527,22.068292794523646,50.10343847064909,19.287326066058142,0.007892364551623518,0.001,0.562015503875969,2.0,-0.1744186046511628,-1.0,1.0,63.0,-0.3500527918442373,-0.23797093459008767,0.261483007193962,0.3253843521287478,2.167463679449072,258,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.3504315104615122,False,False,6300.0,analytic,,,,,,,,event
belief_weighted,,,170020,30.610812965783595,30.604289966140463,59.708943547066475,19.704990022132016,0.006522999643132227,0.0,0.4809688581314879,2.0,0.09342560553633218,0.0,0.0,98.0,-0.33266849383493824,-0.3918619049843001,0.3235573408240591,0.28729626376870077,1.9579181934972536,289,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.31235523434473056,False,False,9800.0,analytic,,,,,,,,event
