training_seed,q,tau,b,q_scaled,bid_action,ask_action,bid_depth,ask_depth
0,-15,0.75,0.4,-0.9051482536448665,-0.2857459783554077,-0.8640507459640503,1.096420441899923,0.20868981716455892
0,-15,0.75,0.5,-0.9051482536448665,-0.2941010892391205,-0.8131874799728394,1.0835948727191569,0.2867678158661278
0,-15,0.75,0.6,-0.9051482536448665,-0.3021131455898285,-0.7613075375556946,1.0712959117075778,0.3664064705561991
0,-15,0.75,0.7,-0.9051482536448665,-0.3097449839115143,-0.7086097598075867,1.0595806069398082,0.44730054887400356
0,-15,0.75,0.8,-0.9051482536448665,-0.31696656346321106,-0.6552962064743042,1.0484950726574032,0.5291398776471764
0,-15,0.75,0.9,-0.9051482536448665,-0.32375437021255493,-0.6015692353248596,1.0380754042339608,0.6116138262207979
0,-15,0.75,1.0,-0.9051482536448665,-0.3300911486148834,-0.547629177570343,1.028348089909422,0.694414874821323
0,-15,0.5,0.0,-0.9051482536448665,-0.2199924886226654,-0.9734609127044678,1.1973557787472227,0.04073900452557344
0,-15,0.5,0.1,-0.9051482536448665,-0.22922852635383606,-0.9259365200996399,1.1831779368818067,0.1136916431692222
0,-15,0.5,0.2,-0.9051482536448665,-0.23833802342414856,-0.8766575455665588,1.1691943421092903,0.18933766460782597
0,-15,0.5,0.3,-0.9051482536448665,-0.24725806713104248,-0.8257984519004822,1.1555015689970574,0.2674092585536233
0,-15,0.5,0.4,-0.9051482536448665,-0.2559308409690857,-0.7735510468482971,1.1421883691607995,0.3476119892341454
0,-15,0.5,0.5,-0.9051482536448665,-0.2643048167228699,-0.7201207280158997,1.1293338413342948,0.4296305596724103
0,-15,0.5,0.6,-0.9051482536448665,-0.2723354399204254,-0.6657227873802185,1.1170063791595324,0.5131344844706066
0,-15,0.5,0.7,-0.9051482536448665,-0.2799852192401886,-0.6105789542198181,1.1052635339419452,0.5977833966077324
0,-15,0.5,0.8,-0.9051482536448665,-0.28722360730171204,-0.5549139380455017,1.0941521976434319,0.6832323542372346
0,-15,0.5,0.9,-0.9051482536448665,-0.2940267324447632,-0.49895143508911133,1.0837090146166568,0.7691379709532478
0,-15,0.5,1.0,-0.9051482536448665,-0.3003770709037781,-0.44291219115257263,1.0739608848358604,0.8551613894272018
0,-15,0.25,0.0,-0.9051482536448665,-0.1858530044555664,-0.8785777688026428,1.2497618236310015,0.18639001300874078
0,-15,0.25,0.1,-0.9051482536448665,-0.19506019353866577,-0.8285954594612122,1.2356282660769202,0.2631156932774043
0,-15,0.25,0.2,-0.9051482536448665,-0.20414695143699646,-0.7768939137458801,1.2216795772233588,0.3424804989099868
0,-15,0.25,0.3,-0.9051482536448665,-0.21305057406425476,-0.7236670851707458,1.2080120113999124,0.4241867002596226
0,-15,0.25,0.4,-0.9051482536448665,-0.22171378135681152,-0.6691266298294067,1.1947134967536734,0.5079093932156725
0,-15,0.25,0.5,-0.9051482536448665,-0.23008552193641663,-0.6134980916976929,1.181862400046332,0.5933023549804293
0,-15,0.25,0.6,-0.9051482536448665,-0.23812153935432434,-0.5570167303085327,1.1695266574373222,0.6800044488248891
0,-15,0.25,0.7,-0.9051482536448665,-0.245784729719162,-0.4999227523803711,1.157763225504755,0.767646943809633
0,-15,0.25,0.8,-0.9051482536448665,-0.25304481387138367,-0.4424579441547394,1.1466185844762298,0.8558586843377005
0,-15,0.25,0.9,-0.9051482536448665,-0.2598781883716583,-0.38486161828041077,1.1361289669701111,0.9442723119173381
0,-15,0.25,1.0,-0.9051482536448665,-0.26626765727996826,-0.3273669183254242,1.1263207697298288,1.0325299379456832
0,-15,0.05,0.0,-0.9051482536448665,-0.1555483490228653,-0.7921598553657532,1.296281188862774,0.31904641250702875
0,-15,0.05,0.1,-0.9051482536448665,-0.16469785571098328,-0.7403810620307922,1.2822361770572341,0.39852979761789575
0,-15,0.05,0.2,-0.9051482536448665,-0.17373692989349365,-0.6869674324989319,1.2683606854124903,0.4805227490330745
0,-15,0.05,0.3,-0.9051482536448665,-0.18260374665260315,-0.6321285963058472,1.2547496186846,0.5647034735233006
0,-15,0.05,0.4,-0.9051482536448665,-0.19124189019203186,-0.5760912299156189,1.2414895783212458,0.6507240098571574
0,-15,0.05,0.5,-0.9051482536448665,-0.1996012032032013,-0.5190945863723755,1.2286575586364525,0.7382170910394025
0,-15,0.05,0.6,-0.9051482536448665,-0.20763835310935974,-0.4613858461380005,1.2163200775937333,0.8268032810388275
0,-15,0.05,0.7,-0.9051482536448665,-0.21531692147254944,-0.40321555733680725,1.2045330395613225,0.9160979742713515
0,-15,0.05,0.8,-0.9051482536448665,-0.22260740399360657,-0.3448333144187927,1.193341735312176,1.0057180290970698
