q,tau,b,bid_action,ask_action_mirror,symmetry_error
-10,1.0,1.0,-0.35289710760116577,0.8351015448570251,-1.187998652458191
-10,0.75,0.0,-0.24544522166252136,0.5134025812149048,-0.7588478028774261
-10,0.75,0.1,-0.2548466622829437,0.5671755075454712,-0.8220221698284149
-10,0.75,0.2,-0.26409170031547546,0.6193097233772278,-0.8834014236927032
-10,0.75,0.3,-0.2731111943721771,0.6696258783340454,-0.9427370727062225
-10,0.75,0.4,-0.281841903924942,0.7179785370826721,-0.9998204410076141
-10,0.75,0.5,-0.2902280390262604,0.7642584443092346,-1.054486483335495
-10,0.75,0.6,-0.29822206497192383,0.8083924055099487,-1.1066144704818726
-10,0.75,0.7,-0.30578505992889404,0.8503416776657104,-1.1561267375946045
-10,0.75,0.8,-0.312886506319046,0.8900995254516602,-1.2029860317707062
-10,0.75,0.9,-0.3195040225982666,0.9276866316795349,-1.2471906542778015
-10,0.75,1.0,-0.32562267780303955,0.9631468653678894,-1.288769543170929
-10,0.5,0.0,-0.21343377232551575,0.6546739935874939,-0.8681077659130096
-10,0.5,0.1,-0.22284460067749023,0.7072397470474243,-0.9300843477249146
-10,0.5,0.2,-0.2321019172668457,0.7578761577606201,-0.9899780750274658
-10,0.5,0.3,-0.24113571643829346,0.8064306378364563,-1.0475663542747498
-10,0.5,0.4,-0.24988210201263428,0.8527877926826477,-1.102669894695282
-10,0.5,0.5,-0.25828465819358826,0.8968700170516968,-1.155154675245285
-10,0.5,0.6,-0.26629528403282166,0.9386356472969055,-1.2049309313297272
-10,0.5,0.7,-0.2738746106624603,0.9780776500701904,-1.2519522607326508
-10,0.5,0.8,-0.2809918522834778,1.0,-1.2809918522834778
-10,0.5,0.9,-0.28762438893318176,1.0,-1.2876243889331818
-10,0.5,1.0,-0.29375728964805603,1.0,-1.293757289648056
-10,0.25,0.0,-0.17693057656288147,0.788555920124054,-0.9654864966869354
-10,0.25,0.1,-0.18629544973373413,0.8392364382743835,-1.0255318880081177
-10,0.25,0.2,-0.19551700353622437,0.8877711892127991,-1.0832881927490234
-10,0.25,0.3,-0.2045256793498993,0.9340370297431946,-1.1385627090930939
-10,0.25,0.4,-0.21325808763504028,0.9779484272003174,-1.1912065148353577
-10,0.25,0.5,-0.22165843844413757,1.0,-1.2216584384441376
-10,0.25,0.6,-0.22967907786369324,1.0,-1.2296790778636932
-10,0.25,0.7,-0.23728114366531372,1.0,-1.2372811436653137
-10,0.25,0.8,-0.2444341480731964,1.0,-1.2444341480731964
-10,0.25,0.9,-0.25111591815948486,1.0,-1.2511159181594849
-10,0.25,1.0,-0.2573118209838867,1.0,-1.2573118209838867
-10,0.05,0.0,-0.1446658968925476,0.8876934051513672,-1.0323593020439148
-10,0.05,0.1,-0.1539553701877594,0.9365187287330627,-1.0904740989208221
-10,0.05,0.2,-0.16311654448509216,0.983087420463562,-1.1462039649486542
-10,0.05,0.3,-0.1720811426639557,1.0,-1.1720811426639557
-10,0.05,0.4,-0.18078723549842834,1.0,-1.1807872354984283
-10,0.05,0.5,-0.18918025493621826,1.0,-1.1891802549362183
-10,0.05,0.6,-0.19721373915672302,1.0,-1.197213739156723
-10,0.05,0.7,-0.2048497200012207,1.0,-1.2048497200012207
-10,0.05,0.8,-0.21205836534500122,1.0,-1.2120583653450012
-10,0.05,0.9,-0.2188180685043335,1.0,-1.2188180685043335
-10,0.05,1.0,-0.22511446475982666,1.0,-1.2251144647598267
-5,1.0,0.0,-0.26419225335121155,0.07655619084835052,-0.3407484441995621
-5,1.0,0.1,-0.27366551756858826,0.13496138155460358,-0.40862689912319183
-5,1.0,0.2,-0.2829091250896454,0.19259744882583618,-0.47550657391548157
-5,1.0,0.3,-0.2918491065502167,0.24919483065605164,-0.5410439372062683
-5,1.0,0.4,-0.30041879415512085,0.3045095205307007,-0.6049283146858215
-5,1.0,0.5,-0.3085605800151825,0.35832905769348145,-0.6668896377086639
-5,1.0,0.6,-0.31622743606567383,0.41047677397727966,-0.7267042100429535
-5,1.0,0.7,-0.3233829140663147,0.4608132839202881,-0.7841961979866028
-5,1.0,0.8,-0.33000117540359497,0.5092365741729736,-0.8392377495765686
-5,1.0,0.9,-0.3360663056373596,0.5556798577308655,-0.8917461633682251
-5,1.0,1.0,-0.34157124161720276,0.6001079082489014,-0.9416791498661041
-5,0.75,0.0,-0.23235014081001282,0.2192605435848236,-0.4516106843948364
-5,0.75,0.1,-0.24190160632133484,0.27875158190727234,-0.5206531882286072
-5,0.75,0.2,-0.25121989846229553,0.3370758295059204,-0.5882957279682159
-5,0.75,0.3,-0.26022669672966003,0.39396265149116516,-0.6541893482208252
-5,0.75,0.4,-0.2688518762588501,0.4491763710975647,-0.7180282473564148
-5,0.75,0.5,-0.2770354151725769,0.5025212168693542,-0.7795566320419312
