level,training_seed,metric,n,mean,std,median,ci_lo,ci_hi,min,max
within_seed,1,ask_action_mean,100,0.15644859102784656,0.022523792102130753,0.1580952668664977,0.15203392777582894,0.16086325427986417,0.10592502484051511,0.203762531965971
within_seed,2,ask_action_mean,100,0.13808246065142338,0.048246059651292764,0.1352635085732909,0.12862623295977,0.14753868834307676,0.027995405225781724,0.25349392389366404
within_seed,3,ask_action_mean,100,0.42431250330243253,0.06152004134326254,0.43493958106217906,0.4122545751991531,0.43637043140571197,0.23502979057654738,0.5474496010653674
within_seed,4,ask_action_mean,100,0.27808333972589816,0.0493190565740839,0.28172059776709646,0.2684168046373777,0.2877498748144186,0.14911992920492775,0.3691446740925312
between_training_seeds,ALL,ask_action_mean,5,0.30663049836740647,0.17200359751879582,0.27808333972589816,0.15586269768820216,0.4573982990466108,0.13808246065142338,0.5362255971294315
within_seed,0,ask_action_std,100,0.31457821040087597,0.08549177642854566,0.3001248587246338,0.297821822220881,0.33133459858087094,0.1750535218666176,0.6281147445668365
within_seed,1,ask_action_std,100,0.03594455766865573,0.009442080469694409,0.037850425458771715,0.03409390989659562,0.03779520544071584,0.012023455858068013,0.05486685807381387
within_seed,2,ask_action_std,100,0.12085303135379505,0.023348031575010204,0.11734911723748834,0.11627681716509305,0.12542924554249704,0.0731224293044567,0.18035020855757633
within_seed,3,ask_action_std,100,0.16321097310017518,0.03625601870476505,0.16220455839805414,0.15610479343404124,0.17031715276630913,0.06837776324491435,0.245530958167163
within_seed,4,ask_action_std,100,0.13368259942112443,0.03448365446260647,0.1416801849406455,0.12692380314645355,0.1404413956957953,0.05684249042320947,0.20016341724289208
between_training_seeds,ALL,ask_action_std,5,0.15365387438892525,0.10163440660902104,0.13368259942112443,0.06456738911292029,0.2427403596649302,0.03594455766865573,0.31457821040087597
within_seed,0,frac_bid_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,1,frac_bid_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,2,frac_bid_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,3,frac_bid_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within_seed,4,frac_bid_near_low,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
