seed,cumulative_objective,raw_pnl,running_inventory_penalty,terminal_inventory_penalty,full_objective,reconciliation_abs_diff,mean_signed_inventory,mean_abs_inventory,terminal_signed_inventory,terminal_abs_inventory,total_fills,bid_action_mean,bid_action_std,ask_action_mean,ask_action_std,frac_bid_near_low,frac_bid_near_high,frac_ask_near_low,frac_ask_near_high,mean_belief,episode_length,treatment
100008,51.2862695568827,51.636807056882844,0.20653749999999907,0.14400000000000002,51.28626955688285,1.4921397450962104e-13,2.61325,3.03675,12.0,12.0,38.0,-0.1611407908354886,0.09643982943697822,0.34894943484244867,0.39644056659353316,0.0,0.0,0.0,0.0815,0.4741864703478916,4000,correct
100008,64.54382193700515,66.63926443700439,1.566442499999951,0.529,64.54382193700444,7.105427357601002e-13,10.76525,10.76525,23.0,23.0,27.0,-0.12841005186736584,0.08010263891791343,0.7965371492477133,0.28456175799430555,0.0,0.0,0.0,0.48675,0.4741864703478916,4000,stationary
100008,58.860581987703995,59.640051987704055,0.5234700000000021,0.256,58.86058198770405,5.684341886080802e-14,5.708,5.708,16.0,16.0,34.0,-0.1355891854688525,0.08773907886879553,0.5295789036541246,0.4008177441907502,0.0,0.0,0.0,0.2155,0.4741864703478916,4000,shuffled
100008,66.63449595410194,68.59041095410294,1.4719149999999757,0.484,66.63449595410296,1.0231815394945443e-12,10.431,10.431,22.0,22.0,28.0,-0.11350643329368905,0.0781898232742978,0.6853421405497938,0.37161376158024706,0.0,0.0,0.0,0.4565,0.4741864703478916,4000,complement
100009,50.50162119915411,50.6364886991546,0.08586750000000026,0.049,50.5016211991546,4.902744876744691e-13,1.98775,2.44375,7.0,7.0,29.0,-0.16796274888841436,0.08374433365346018,0.3618393494472839,0.34950725709838415,0.0,0.0,0.0,0.07825,0.5275356341340987,4000,correct
100009,68.576385689443,68.96573318944218,0.2893474999999961,0.1,68.57638568944219,8.100187187665142e-13,4.53175,4.76625,10.0,10.0,24.0,-0.15993071051780133,0.07767321163057116,0.6520419085440226,0.34776474648401423,0.0,0.0,0.0,0.25025,0.5275356341340987,4000,stationary
100009,-35.91714740794323,-31.725484907944065,3.0356624999999733,1.156,-35.917147407944036,8.029132914089132e-13,-12.42575,12.47475,-34.0,34.0,74.0,-0.24218543418869376,0.0410088683687126,-0.38749185236403716,0.3502280142868692,0.0,0.0,0.0,0.0,0.5275356341340987,4000,shuffled
100009,-133.66210750267155,-123.70180250266458,7.4603050000000355,2.5,-133.6621075026646,6.934897101018578e-12,-21.013,21.013,-50.0,50.0,92.0,-0.25059401360154154,0.04306270306208282,-0.589480768606998,0.27956931770974996,0.0,0.0,0.0,0.0,0.5275356341340987,4000,complement
100010,12.497953171114283,14.316483171114442,1.4575299999999645,0.361,12.497953171114476,1.936228954946273e-13,10.3075,10.409,19.0,19.0,25.0,-0.13337473208736628,0.0842722922531536,0.7767700656591915,0.365504623511384,0.0,0.0,0.0,0.5935,0.8002050322740215,4000,correct
100010,14.282321539208901,16.093591539209,1.4502699999999653,0.361,14.282321539209034,1.3322676295501878e-13,10.27,10.27,19.0,19.0,25.0,-0.13115758286602794,0.08411696442457493,0.7765278861280531,0.32465949611527267,0.0,0.0,0.0,0.5425,0.8002050322740215,4000,stationary
100010,5.801496769492064,7.645791769492234,1.4832949999999618,0.361,5.801496769492273,2.0872192862952943e-13,10.548,10.548,19.0,19.0,23.0,-0.13133497518626974,0.08511738890350434,0.7952711552651599,0.3158632376268799,0.0,0.0,0.0,0.53375,0.8002050322740215,4000,shuffled
100010,6.598913769883949,7.684906269883641,0.8609924999999792,0.225,6.598913769883662,2.8688162956314045e-13,7.72775,7.91375,15.0,15.0,29.0,-0.10189280376536772,0.09159698369211763,0.5186035853903741,0.42525233723959677,0.0,0.0,0.0,0.143,0.8002050322740215,4000,complement
100011,10.205550887036605,11.274593387037157,0.9000424999999652,0.169,10.205550887037191,5.861977570020827e-13,8.74075,8.74075,13.0,13.0,21.0,-0.1058150804778561,0.10043712495840591,0.7519540997026488,0.25378210880058294,0.0,0.0,0.0,0.0775,0.4303982944926192,4000,correct
100011,22.29559436776033,23.505534367761356,0.9849400000000142,0.225,22.29559436776134,1.0089706847793423e-12,8.9815,8.9815,15.0,15.0,25.0,-0.1307039322243072,0.07701353337105135,0.8027386910850182,0.28770309132944705,0.0,0.0,0.0,0.47475,0.4303982944926192,4000,stationary
100011,49.98882821532686,50.36794821532794,0.29811999999999483,0.081,49.98882821532794,1.0800249583553523e-12,4.3935,4.651,9.0,9.0,29.0,-0.1384341805567965,0.08727574210068942,0.4721928264233284,0.43649272988512633,0.0,0.0,0.0,0.1505,0.4303982944926192,4000,shuffled
100011,31.800105668497967,32.6331756684981,0.6640699999999816,0.169,31.800105668498116,1.4921397450962104e-13,7.146,7.146,13.0,13.0,25.0,-0.129246296975296,0.059641729585234234,0.6058983364827,0.4809026035102808,0.0,0.0,0.0,0.456,0.4303982944926192,4000,complement
100012,88.44433175322727,89.91789175322788,1.1125599999999811,0.361,88.44433175322789,6.110667527536862e-13,8.9855,8.9855,19.0,19.0,21.0,-0.1382551503572613,0.09746006719292043,0.8171068990048952,0.26491480418657193,0.0,0.0,0.0,0.47575,0.8160585990500389,4000,correct
100012,88.35363589522558,89.82719589522617,1.1125599999999811,0.361,88.35363589522618,5.968558980384842e-13,8.9855,8.9855,19.0,19.0,21.0,-0.1354927465179935,0.08280175027850131,0.7592481949198991,0.3139334828161871,0.0,0.0,0.0,0.45725,0.8160585990500389,4000,stationary
100012,95.98034025036912,97.66254775036964,1.2822074999999915,0.4,95.98034025036964,5.115907697472721e-13,9.66775,9.66775,20.0,20.0,22.0,-0.13643840250745415,0.08614381110787207,0.7789423266076483,0.3166069893140381,0.0,0.0,0.0,0.50925,0.8160585990500389,4000,shuffled
100012,-422.49611150625753,-375.47820400625824,37.99290750000018,9.025,-422.4961115062584,8.526512829121202e-13,-52.07325,52.07325,-95.0,95.0,141.0,-0.23259067588672042,0.024542965740953177,-0.8279977859593928,0.2404344265552539,0.0,0.0,0.44475,0.0,0.8160585990500389,4000,complement
