agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective,selected_checkpoint_timestep,selected_validation_mean,selected_validation_std,validation_seed_count
oracle,,,160044,79.26690866012643,79.22198116012642,65.8602529530639,25.274343480660203,0.040927500000003156,0.004,1.68725,4.0,1.45975,-2.0,2.0,68.0,-0.3202716860533883,-0.3364046068197098,0.14991616634377264,0.14351887420705087,2.062078095397269,4000,4.263256414560601e-13,exogenous_paired_fills_not_claimed_paired,,,,1.1656898332371535,False,False,6800.0,analytic,,,,,,,
oracle,,,160045,63.94310645894757,63.58282895894757,53.649604640188954,25.47415889958506,0.2962774999999971,0.064,4.36425,11.0,3.34325,8.0,8.0,50.0,-0.2702451268088751,-0.2920175941778873,0.10656345382561311,0.12000196665977218,2.207008284198468,4000,9.023892744153272e-13,exogenous_paired_fills_not_claimed_paired,,,,1.2788621291789515,False,False,5000.0,analytic,,,,,,,
oracle,,,160046,37.87892554189057,37.66814554189057,57.045641897267885,23.553387930136388,0.11077999999999862,0.1,2.128,11.0,-1.366,-10.0,10.0,50.0,-0.2580184375695602,-0.2512634315696793,0.07599171414291796,0.07382264794330493,2.288336897317289,4000,6.181721801112872e-13,exogenous_paired_fills_not_claimed_paired,,,,0.7575785108378114,False,False,5000.0,analytic,,,,,,,
oracle,,,160047,82.8298809036902,82.7193159036902,76.39220570860768,17.736829492713817,0.10156499999999916,0.009000000000000001,2.5705,7.0,-0.992,-3.0,3.0,89.0,-0.39573612700129573,-0.37929213675993495,0.1505454575026492,0.17549226862068903,1.8804011061349493,4000,1.1368683772161603e-13,exogenous_paired_fills_not_claimed_paired,,,,0.9306728191425865,False,False,8900.0,analytic,,,,,,,
oracle,,,160048,48.777674949885295,48.454812449885296,68.27616924691473,25.08580684285418,0.24186249999999365,0.081,3.91875,9.0,-3.69375,-9.0,9.0,69.0,-0.3402197925472858,-0.3065860081323418,0.1439406270093984,0.14715583683909633,2.0772298608540685,4000,1.6200374375330284e-12,exogenous_paired_fills_not_claimed_paired,,,,0.7069228253606565,False,False,6900.0,analytic,,,,,,,
oracle,,,160049,74.16446972202573,73.83435722202573,68.10016745842016,15.033677426861042,0.30511249999999945,0.025,4.60575,10.0,-4.60425,-5.0,5.0,77.0,-0.38390897464727736,-0.33899040668790026,0.16268255160890374,0.15671488699336994,1.9604218978607288,4000,1.9895196601282805e-13,exogenous_paired_fills_not_claimed_paired,,,,0.9631749314548795,False,False,7700.0,analytic,,,,,,,
oracle,,,160050,60.19513065078492,60.18402565078492,54.51910454583603,16.638918910930318,0.01110500000000013,0.0,0.8025,2.0,0.3375,0.0,0.0,54.0,-0.29811616638618116,-0.3020049812486086,0.12940197637417294,0.1281099203064727,2.1488934516358302,4000,2.3447910280083306e-12,exogenous_paired_fills_not_claimed_paired,,,,1.1147246416812022,False,False,5400.0,analytic,,,,,,,
oracle,,,160051,78.77219343483364,78.64495843483364,73.77592213712393,12.666063514156384,0.09123500000000061,0.036000000000000004,2.511,7.0,2.155,6.0,6.0,94.0,-0.4037843422104536,-0.421620226460559,0.1653720969078802,0.16055626019845154,1.8030706203180251,4000,2.842170943040401e-14,exogenous_paired_fills_not_claimed_paired,,,,0.8380020578173792,False,False,9400.0,analytic,,,,,,,
oracle,,,160052,-25.158976378516968,-25.345258878516976,61.11277159001844,17.559676125894875,0.16128250000000866,0.025,3.32075,8.0,-3.28575,-5.0,5.0,57.0,-0.29633130487924597,-0.25349539391375053,0.10150444496917374,0.11094572841637591,2.2260982837448062,4000,1.7479351299698465e-12,exogenous_paired_fills_not_claimed_paired,,,,-0.44138555050029765,True,True,5700.0,analytic,,,,,,,
oracle,,,160053,30.103414019886145,29.887126519886145,57.96155983580052,20.31919510292129,0.20728749999999857,0.009000000000000001,4.23975,8.0,-4.23975,-3.0,3.0,59.0,-0.33411805986404625,-0.27962859129183537,0.1310347032129394,0.13896017394355276,2.127977530774361,4000,6.998845947236987e-13,exogenous_paired_fills_not_claimed_paired,,,,0.5102273562692567,False,False,5900.0,analytic,,,,,,,
oracle,,,160054,110.05281099105969,109.21208099105974,60.39876175768422,17.919497565657554,0.740729999999959,0.1,8.097,13.0,-8.097,-10.0,10.0,62.0,-0.3541139995591261,-0.2620716137791503,0.13031278832331591,0.14361128276327836,2.124233585465322,4000,2.6290081223123707e-12,exogenous_paired_fills_not_claimed_paired,,,,1.775045338565479,False,False,6200.0,analytic,,,,,,,
oracle,,,160055,45.7317271393635,45.677477139363496,67.53787700480997,19.065501820199767,0.05025000000000368,0.004,1.856,5.0,0.178,-2.0,2.0,60.0,-0.24686389645890977,-0.2513346867289409,0.06503028547659415,0.06318145832450246,2.305350369992661,4000,7.176481631177012e-13,exogenous_paired_fills_not_claimed_paired,,,,0.762195452322725,False,False,6000.0,analytic,,,,,,,
oracle,,,160056,-96.18925478900962,-96.46730228900962,60.5679309635549,24.714909069366865,0.22904749999999324,0.049,3.70925,9.0,2.71125,7.0,7.0,59.0,-0.2736156782721219,-0.2896497527545513,0.11023644464588267,0.11672453518531231,2.205469067404805,4000,1.1368683772161603e-12,exogenous_paired_fills_not_claimed_paired,,,,-1.6303263523560954,True,True,5900.0,analytic,,,,,,,
