policy,environment_type,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,recurrent_state_reset_verified
analytical_belief_weighted,event,225023.0,-18.370941995827593,-18.573844246905924,60.3106883518218,23.307873760808633,0.15390225107833205,0.049,3.4243542435424352,9.0,1.4243542435424354,-7.0,7.0,63.0,-0.310587238117262,-0.34033801026997795,0.14091346755536532,0.1498754689733159,2.0709062749321236,271,7.105427357601002e-15,
analytical_belief_weighted,event,225024.0,6.468578506034419,5.441175654340009,51.59113937492484,13.212634469475905,0.8584028516944099,0.169,8.007299270072993,16.0,8.007299270072993,13.0,13.0,65.0,-0.3776435292035728,-0.45194918748011675,0.1539358099618008,0.17148887464694892,1.7966415755305292,274,9.769962616701378e-15,
analytical_belief_weighted,event,225025.0,44.906730391491436,44.87881415981576,61.13670994984027,13.056015422797588,0.027916231675677226,0.0,1.1245421245421245,5.0,0.4652014652014652,0.0,0.0,72.0,-0.3599632532869647,-0.36639292768016457,0.15660797989936454,0.15980722645373738,1.955115514326062,273,7.105427357601002e-15,
analytical_belief_weighted,event,225026.0,21.131264701836926,21.03591286342113,49.02392624889629,10.79860214128485,0.059351838415794556,0.036000000000000004,2.2185185185185183,6.0,-2.1814814814814816,-6.0,6.0,54.0,-0.34376496232209586,-0.32332903498375487,0.1481950795255413,0.1482348781305837,2.046086328110553,270,0.0,
analytical_belief_weighted,event,225027.0,15.695848332216428,15.11887866520648,51.85635194298928,14.740258384503571,0.5129696670099475,0.064,5.67680608365019,13.0,5.524714828897339,8.0,8.0,50.0,-0.2628064862935494,-0.3177494397639603,0.12279188785842698,0.12127666310242645,2.1789271766658116,263,2.4868995751603507e-14,
analytical_belief_weighted,event,225028.0,21.215349876081333,21.15762482866288,54.03047794900869,11.465582370567915,0.057725047418455584,0.0,2.0034965034965033,6.0,-1.6888111888111887,0.0,0.0,60.0,-0.3821668442753584,-0.36011498817670823,0.16108039575559444,0.15938473239872075,1.930668735855773,286,3.552713678800501e-15,
analytical_belief_weighted,event,225029.0,67.44599188210077,67.20769739856162,57.575579750118806,17.887853825922722,0.17429448353915036,0.064,3.447058823529412,9.0,-3.0313725490196077,-8.0,8.0,62.0,-0.3392170852835726,-0.31099374783013406,0.14528899165578257,0.14504843235440684,2.0720029429048203,255,1.4210854715202004e-14,
analytical_belief_weighted,event,225030.0,57.36198174167055,57.234452684210844,61.61321093024673,4.914300314709836,0.11852905745970611,0.009000000000000001,2.8496503496503496,7.0,2.262237762237762,3.0,3.0,83.0,-0.43964339594071355,-0.45824042030529144,0.14903121729537022,0.16063064114471098,1.6918108636396236,286,2.842170943040401e-14,
analytical_belief_weighted,event,225031.0,40.785546660660856,40.74687372894817,50.80243174516764,10.918982027506095,0.037672931712688415,0.001,1.2765151515151516,5.0,-0.8825757575757576,-1.0,1.0,55.0,-0.3414143681618728,-0.33049654420924207,0.1494918251526904,0.14841917519665423,2.0386920902282233,264,7.105427357601002e-15,
analytical_belief_weighted,event,225032.0,11.938685292684681,11.600608726227811,66.28150220920817,21.447314121518076,0.27407656645686945,0.064,4.795539033457249,8.0,-4.765799256505576,-8.0,8.0,66.0,-0.3498582073693585,-0.2958406234519356,0.14369726803052438,0.1433605001528736,2.0789291223835304,269,5.329070518200751e-15,
analytical_belief_weighted,event,225033.0,-87.2933519169984,-87.64676335067637,61.20453442750021,15.262741858886539,0.3444114336779572,0.009000000000000001,5.235955056179775,9.0,5.235955056179775,3.0,3.0,63.0,-0.2961145529349668,-0.3587088070547917,0.14966410118256906,0.14257210179220564,2.0649224524876004,267,2.842170943040401e-14,
analytical_belief_weighted,event,225034.0,78.61772288909913,78.40789987404045,58.7150435760751,12.742861834663756,0.1458230150586755,0.064,2.7720588235294117,9.0,-2.3455882352941178,-8.0,8.0,70.0,-0.4124772517691763,-0.3971405585360374,0.16243221536184044,0.1633585517190758,1.8273041899712177,272,1.4210854715202004e-14,
analytical_belief_weighted,event,225035.0,36.42020588671858,35.6284679804973,65.67233825452143,17.439283369462757,0.6477379062212816,0.14400000000000002,6.456834532374101,17.0,-6.456834532374101,-12.0,12.0,72.0,-0.3944167435789606,-0.3328186648544994,0.15275599851451951,0.1657445473144285,1.9537658502878477,278,2.1316282072803006e-14,
