q,tau,belief,policy,bid_depth,ask_depth,bid_action,ask_action
-30.0,0.0,0.0,fixed_seed2,1.0390910612545605,2.1792487568497374,-0.3230927288532257,0.4196535646915436
-30.0,0.0,0.0,fixed_seed3,1.61284189278074,1.313721430325191,0.0506725013256073,-0.1441870480775833
-30.0,0.0,0.0,fixed_seed4,1.4489707037010762,1.434740571579611,-0.05608002841472637,-0.06535013020038605
-30.0,0.0,0.0,event_seed0,1.770321684579472,0.9058161453417638,0.15326140820980072,-0.409913569688797
-30.0,0.0,0.0,event_seed1,1.066464392694805,1.5531448712159908,-0.30526059865951527,0.01178337074816227
-30.0,0.0,0.0,event_seed2,1.3642908886173528,1.5813926290935405,-0.11124399304389954,0.030185138806700706
-30.0,0.0,0.0,event_seed3,1.6243170477997364,1.7096648846289635,0.05814789608120918,0.11374703794717789
-30.0,0.0,0.0,event_seed4,0.673254385220751,1.0695948543229121,-0.5614140033721924,-0.30322128534317017
-28.0,0.0,0.0,analytical,0.6115334244237028,0.723804753710762,-0.6016216124100798,-0.5284833842321107
-28.0,0.0,0.0,fixed_seed0,1.5477732668838837,1.4551000549744408,0.008284083567559719,-0.05208711326122295
-28.0,0.0,0.0,fixed_seed1,0.9160389590217424,1.9440977827115682,-0.4032540023326874,0.2664664089679718
-28.0,0.0,0.0,fixed_seed2,1.0399226730432396,2.1781411000873048,-0.3225509822368622,0.4189319908618925
-28.0,0.0,0.0,fixed_seed3,1.612311247328004,1.314722104792111,0.050326816737651825,-0.14353516697883606
-28.0,0.0,0.0,fixed_seed4,1.449211734103768,1.435057458308472,-0.055923011153936275,-0.06514369696378697
-28.0,0.0,0.0,event_seed0,1.7698760279484116,0.9068903601294178,0.152971088886261,-0.4092137813568115
-28.0,0.0,0.0,event_seed1,1.067312565351979,1.553104788595998,-0.3047080636024474,0.011757259257137775
-28.0,0.0,0.0,event_seed2,1.3646430815624042,1.5812904989723782,-0.11101455986499786,0.030118606984615326
-28.0,0.0,0.0,event_seed3,1.6241544470625864,1.7092850711746472,0.05804197117686272,0.11349961161613464
-28.0,0.0,0.0,event_seed4,0.6747778936257786,1.070263968308016,-0.5604215264320374,-0.30278539657592773
-26.0,0.0,0.0,analytical,0.6155431141397874,0.7197950640700914,-0.5990095332333203,-0.5310954633597424
-26.0,0.0,0.0,fixed_seed0,1.5478359720162265,1.4553523394479884,0.008324932307004929,-0.051922764629125595
-26.0,0.0,0.0,fixed_seed1,0.9176251882850754,1.9430120393635255,-0.4022206664085388,0.26575911045074463
-26.0,0.0,0.0,fixed_seed2,1.0411614443059667,2.1764910977557896,-0.32174399495124817,0.4178571105003357
-26.0,0.0,0.0,fixed_seed3,1.6115212893259676,1.316211896732827,0.049812205135822296,-0.14256465435028076
